Symbol,Name,Quantity,Buy Price,Purchase Date
RELIANCE.NS,Reliance Industries,100,2500.00,15/11/2025
TCS.NS,Tata Consultancy Services,50,3400.00,20/11/2025
INFY.NS,Infosys Limited,75,1450.00,18/11/2025
HDFCBANK.NS,HDFC Bank,60,1620.00,10/11/2025
WIPRO.NS,Wipro Limited,200,410.00,05/11/2025
ITC.NS,ITC Limited,150,425.00,12/11/2025
BHARTIARTL.NS,Bharti Airtel,80,950.00,08/11/2025
SBIN.NS,State Bank of India,100,580.00,14/11/2025
AXISBANK.NS,Axis Bank,70,1050.00,16/11/2025
MARUTI.NS,Maruti Suzuki,25,9500.00,22/11/2025
